测试,#genre#

📺港台频道,#genre#
凤凰中文,https://play-flive.ifeng.com/live/06OLEGEGM4G.flv
凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.flv
凤凰中文,https://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰香港,http://mywlkj.ddns.net:754/tv/hk.php?id=28
凤凰资讯,http://171.108.239.46:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.92:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0

翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
无线新闻,http://66.165.240.154:8080/live/TVBwxxwt/hls.m3u8
TVB明珠台,http://xjayrf.eatuo.com:9901/tsfile/live/1005_1.m3u8

🌏央视卫视,#genre#
CCTV5+,https://pi.0472.org/live/cctv5p.m3u8?token=240411
CCTV6,https://pi.0472.org/live/cctv6.m3u8?token=240411
CCTV7,https://pi.0472.org/live/cctv7.m3u8?token=240411
CCTV8,https://pi.0472.org/live/cctv8.m3u8?token=240411
CCTV9,https://pi.0472.org/live/cctv9.m3u8?token=240411
CCTV10,https://pi.0472.org/live/cctv10.m3u8?token=240411
CCTV11,https://pi.0472.org/live/cctv11.m3u8?token=240411
CCTV12,https://pi.0472.org/live/cctv12.m3u8?token=240411
CCTV13,https://pi.0472.org/live/cctv13.m3u8?token=240411
CCTV15,https://pi.0472.org/live/cctv15.m3u8?token=240411
CCTV16,https://pi.0472.org/live/cctv16.m3u8?token=240411
CCTV16,https://pi.0472.org/live/cctv164k.m3u8?token=240411
CCTV17,https://pi.0472.org/live/cctv17.m3u8?token=240411
CCTV4K,https://pi.0472.org/live/cctv4k.m3u8?token=240411
CCTV8K,https://pi.0472.org/live/cctv8k.m3u8?token=240411
CCTV兵器科技,https://pi.0472.org/live/bqkj.m3u8?token=240411
CCTV第一剧场,https://pi.0472.org/live/dyjc.m3u8?token=240411
CCTV怀旧剧场,https://pi.0472.org/live/hjjc.m3u8?token=240411
CCTV风云剧场,https://pi.0472.org/live/fyjc.m3u8?token=240411
CCTV风云音乐,https://pi.0472.org/live/fyyy.m3u8?token=240411
CCTV风云足球,https://pi.0472.org/live/fyzq.m3u8?token=240411
CCTV电视指南,https://pi.0472.org/live/dszn.m3u8?token=240411
CCTV央视文化精品,https://pi.0472.org/live/whjp.m3u8?token=240411
CCTV世界地理,https://pi.0472.org/live/sjdl.m3u8?token=240411
CCTV高尔夫网球,https://pi.0472.org/live/gefwq.m3u8?token=240411
CCTV央视台球,https://pi.0472.org/live/ystq.m3u8?token=240411
CCTV卫生健康,https://pi.0472.org/live/wsjk.m3u8?token=240411

📺江西频道,#genre#
江西都市频道,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227290/10000100000000060000000001722654_0.smil
江西经济生活,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227092/10000100000000060000000000610996_0.smil
江西影视旅游,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227287/10000100000000060000000001899760_0.smil
江西公共农业,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226948/10000100000000060000000000527279_0.smil
江西少儿,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227089/10000100000000060000000000582672_0.smil
江西新闻,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227051/10000100000000060000000000571126_0.smil
江西移动,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227285/10000100000000060000000001842697_0.smil
风尚购物,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227263/10000100000000060000000001461890_0.smil
江西教育,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227283/10000100000000060000000001741171_0.smil

江西都市频道,rtsp://115.153.212.72/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活,rtsp://115.153.212.72/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游,rtsp://115.153.212.72/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业,rtsp://115.153.212.72/PLTV/88888888/224/3221226708/53213097.smil
江西少儿,rtsp://115.153.212.72/PLTV/88888888/224/3221226938/68733921.smil
江西新闻,rtsp://115.153.212.72/PLTV/88888888/224/3221226650/53190437.smil
江西移动,rtsp://115.153.212.72/PLTV/88888888/224/3221227070/96801473.smil
风尚购物,rtsp://115.153.212.72/PLTV/88888888/224/3221227049/90141188.smil
